name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url,Category
['The Science Book: Big Ideas Simply Explained'],"
DK",32.03,37.73,256,['VINTAGE BOOKS                 '],Paperback,09/10/2018,16,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781465481221,Science
"['An End to Upside Down Thinking: Dispelling the Myth That the Brain Produces Consciousness, and the Implications for Everyday Life']","
Gober,Mark",31.03,36.56,240,['LIVERIGHT                     '],Hardcover,27/11/2018,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781947637856,Science
"['The Madhouse Effect: How Climate Change Denial Is Threatening Our Planet, Destroying Our Politics, and Driving Us Crazy']","
Mann,Michael",44.13,51.99,304,['W W NORTON & CO INC           '],Paperback,13/11/2018,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780231177870,Science
"[""Humanimal: How Homo Sapiens Became Nature's Most Paradoxical Creature--A New Evolutionary History""]","
Rutherford,Adam",46.13,54.34,396,['BALLANTINE BOOKS              '],Hardcover,10/12/2013,42,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781615195312,Science
"['Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness']","
Godfrey-Smith,Peter",43.41,51.14,640,['ALFRED A KNOPF                '],Hardcover,23/01/2018,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374227760,Science
"['Space Atlas, Second Edition: Mapping the Universe and Beyond']","
Trefil,James",82.2,96.83,294,['CAMBRIDGE UNIV PR             '],Hardcover,01/03/2018,162,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781426219696,Science
['Roadside Geology of Arizona'],"
Chronic,Halka",30.18,35.55,427,['SPRINGER VERLAG GMBH          '],Paperback,13/11/2018,104,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780878421473,Science
['Pale Blue Dot'],"
Sagan,Carl",24.28,28.61,232,['STERLING PUBL CO INC          '],Paperback,09/10/2018,7,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780345376596,Science
['NASA Saturn V 1967-1973 (Apollo 4 to Apollo 17 & Skylab)'],"
Woods,David",54.04,63.66,304,['PRINCETON UNIV PR             '],Hardcover,16/10/2018,10,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780857338280,Science
['The Atom: A Visual Tour'],"
Challoner,Jack",50.04,58.94,32,['BRITANNICA EDUC PUB           '],Hardcover,15/01/2018,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780262037365,Science
"[""The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World - And Us""]","
Prum,RichardO.",25.52,30.07,232,['ROWMAN & LITTLEFIELD PUBL GROU'],Paperback,20/10/2017,7,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780345804570,Science
"[""Sky & Telescope's Pocket Sky Atlas""]","
Sinnott,Roger",68.08,80.2,288,['RIVERHEAD                     '],Spiral,24/01/2017,10,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781940038254,Science
['Human Anatomy Coloring Book'],"
Matt,Margaret",8.04,9.48,240,['PANTHEON                      '],Paperback,27/03/2018,17,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486241388,Science
['Mini Weapons of Mass Destruction: Build Implements of Spitball Warfare'],"
Austin,John",25.92,30.54,272,['MARINER BOOKS                 '],Paperback,20/11/2018,57,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781556529535,Science
['Topology and Physics'],"
ChenNingYang",70.07,82.54,512,['GRAND CENTRAL PUB MASS MARKET '],Paperback,02/10/2018,14,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9789813278509,Science
['The Quantum Labyrinth: How Richard Feynman and John Wheeler Revolutionized Time and Reality'],"
Halpern,Paul",25.15,29.63,480,['LIVERIGHT                     '],Paperback,05/06/2018,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781541672987,Science
['Alice and Bob Meet the Wall of Fire: The Biggest Ideas in Science from Quanta'],"
Lin,Thomas",30.58,36.02,240,['MARINER BOOKS                 '],Paperback,01/04/2014,3834,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780262536349,Science
['The Usefulness of Useless Knowledge'],"
Flexner,Abraham",14.22,16.76,416,['EXPERIMENT                    '],Hardcover,04/09/2018,9,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691174761,Science
['A Bright Future: How Some Countries Have Solved Climate Change and the Rest Can Follow'],"
Goldstein,JoshuaS.",42.51,50.08,368,['HENRY HOLT & CO               '],Hardcover,23/10/2018,264,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781541724105,Science
"[""Einstein's Shadow: A Black Hole, a Band of Astronomers, and the Quest to See the Unseeable""]","
Fletcher,Seth",38.43,45.27,89,['COLUMBIA UNIV PR              '],Hardcover,01/07/2014,67,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062312020,Science
['Anthropocene: A Very Short Introduction'],"
Ellis,ErleC.",16.48,19.42,544,['BROADWAY BOOKS                '],Paperback,14/09/2004,13,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780198792987,Science
['Human Caused Global Warming'],"
BallPhd,Tim",26.66,31.41,240,['CHELSEA GREEN PUB CO          '],Paperback,03/12/2008,17,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781773021300,Science
['Catholic Student Bible-NABRE'],"
WorldCatholicPress",17.8,22.29,1408,['WORLD BIBLE PUB CO            '],Paperback,27/05/2011,19,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780529064844,Bible
['Premium Value Slimline Bible-NLT-Large Print Cross'],"
Tyndale",29.89,37.42,1104,['TYNDALE HOUSE PUBL            '],Imitation,01/03/2016,18,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781496413864,Bible
['The Message Ministry Edition'],"
Peterson,EugeneH.",14.11,17.66,906,['NAV PR                        '],Paperback,04/10/2016,199,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781600065941,Bible
['Text Bible-NLT-Economy'],"
Tyndale",13.03,16.31,810,['TYNDALE HOUSE PUBL            '],Paperback,01/03/2006,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414309477,Bible
['KJV Mini Pocket Edition: Zippered Black'],"
",23.17,29.01,0,['CHRISTIAN ART GIFTS           '],Imitation,01/10/2012,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432102425,Bible
['Premium Value Slimline Bible-NLT-Large Print Crown'],"
Tyndale",36.53,43.03,1104,['TYNDALE HOUSE PUBL            '],Imitation,01/03/2016,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781496413871,Bible
['Journaling Bible-ESV-Flowers'],"
CrosswayBibles",64.95,76.51,1066,['CROSSWAY BOOKS                '],Hardcover,30/09/2015,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433548376,Bible
['Haitian New Testament with Psalms-FL'],"
HaitianBibleSociety",7.67,9.61,363,['AMER BIBLE SOC                '],Paperback,01/05/2010,103,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781585169443,Bible
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",77.84,91.69,2226,['HOLMAN A J                    '],Imitation,15/04/2017,420,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433613821,Bible
['Saint Joseph Medium Size Bible-NABRE'],"
CatholicBookPublishingCo",22.41,28.05,1632,['CATHOLIC BOOK PUB CO          '],Paperback,01/08/2011,422,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780899429502,Bible
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",79.22,93.31,2226,['HOLMAN A J                    '],Hardcover,15/04/2017,703,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433648199,Bible
['Catholic Bible-RSV-Compact Zipper'],"
OxfordUniversityPress",46.49,54.77,1253,['OXFORD UNIV PR                '],Imitation,01/02/2005,21,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780195288537,Bible
['Good News Bible-TEV'],"
AmericanBibleSociety",15.9,19.9,1408,['AMER BIBLE SOC                '],Paperback,01/03/2001,68,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781585160815,Bible
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",79.22,93.31,2226,['HOLMAN A J                    '],Hardcover,15/04/2017,493,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433648212,Bible
['Economy New Testament with Psalms-KJV'],"
HolmanBibleStaff",5.52,6.91,576,['HOLMAN A J                    '],Imitation,16/11/1995,6,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781558190375,Bible
['ESV Economy Bible'],"
",8.36,10.47,1408,['WORLD BIBLE PUB CO            '],Paperback,27/05/2011,19,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433558276,Bible
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",91.68,107.99,1104,['TYNDALE HOUSE PUBL            '],Hardcover,01/03/2016,18,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433648205,Bible
['Spanish New Testament-RV 1960'],"
AmericanBibleSociety",5.05,6.33,906,['NAV PR                        '],Paperback,04/10/2016,199,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781585160563,Bible
['The Message Deluxe Gift Bible: The Bible in Contemporary Language'],"
Peterson,EugeneH.",28.25,35.36,810,['TYNDALE HOUSE PUBL            '],Imitation,01/03/2006,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781631465802,Bible
"['The King James Study Bible, Imitation Leather, Brown, Full-Color Edition']","
ThomasNelson",115.22,135.72,0,['CHRISTIAN ART GIFTS           '],Imitation,01/10/2012,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780718079826,Bible
['Keystone Large Print New Testament with Psalms-KJV'],"
NationalBibles",14.3,17.9,1104,['TYNDALE HOUSE PUBL            '],Paperback,01/03/2016,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780834003415,Bible
"['The Passion Translation New Testament Blue: With Psalms, Proverbs and Song of Songs']","
Simmons,Brian",82.98,97.74,1066,['CROSSWAY BOOKS                '],Imitation,30/09/2015,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781424556809,Bible
['Inspire Bible-NLT-Elastic Band Closure: The Bible for Creative Journaling'],"
Tyndale",70.46,83.0,363,['AMER BIBLE SOC                '],Imitation,01/05/2010,103,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781496413741,Bible
['Adventure Bible-NKJV'],"
Richards,LawrenceO.",63.29,74.55,2226,['HOLMAN A J                    '],Imitation,15/04/2017,420,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780310746027,Bible
['Nuevo Testamento-VP'],"
AmericanBibleSociety",4.8,6.01,1632,['CATHOLIC BOOK PUB CO          '],Paperback,01/08/2011,422,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781585161010,Bible
['Adventure Bible for Early Readers-NIRV'],"
Richards,LawrenceO.",48.44,57.06,2226,['HOLMAN A J                    '],Hardcover,15/04/2017,703,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780310727422,Bible
['HarperCollins Study Bible-NRSV'],"
Attridge,HaroldW.",71.39,84.09,1253,['OXFORD UNIV PR                '],Hardcover,01/02/2005,21,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780060786854,Bible
['Message Deluxe Gift Bible: The Bible in Contemporary Language'],"
Peterson,EugeneH.",25.95,32.48,1408,['AMER BIBLE SOC                '],Imitation,01/03/2001,68,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781631465789,Bible
['Santa Biblia-RV 1960'],"
AmericanBibleSociety",10.53,13.18,2226,['HOLMAN A J                    '],Paperback,15/04/2017,493,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781585160785,Bible
['Catholic Bible-RSV'],"
Press,Ignatius",57.35,67.56,576,['HOLMAN A J                    '],Hardcover,16/11/1995,6,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780898708332,Bible
['She Reads Truth Bible-CSB'],"
CsbBiblesbyHolman",91.91,108.26,624,['CROSSWAY BOOKS                '],Hardcover,15/02/2017,73,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433648229,Bible
"[""The Everyday Life Bible: The Power of God's Word for Everyday Living""]","
Meyer,Joyce",74.66,87.95,2226,['HOLMAN A J                    '],Hardcover,15/04/2017,185,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781478922957,Bible
"['ESV Economy Bible, Large Print']","
",12.19,15.26,239,['AMER BIBLE SOC                '],Paperback,01/12/1999,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433558412,Bible
['Text Bible-NASB'],"
FoundationPublicationInc",12.72,15.92,1072,['NAV PR                        '],Paperback,01/10/2016,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781885217721,Bible
['ESV Scripture Journal: John'],"
CrosswayBibles",10.3,12.9,2368,['NELSONWORD PUB GROUP          '],Paperback,08/08/2017,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433560842,Bible
['Mirror Bible-OE'],"
DuToit,Francois",92.88,109.41,512,['CALLA ED                      '],Paperback,02/08/2017,59,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780992176907,Bible
['Message Remix-MS: The Bible in Contemporary Language'],"
Peterson,EugeneH.",57.14,67.31,1056,['BROADSTREET PUB               '],Imitation,03/04/2018,132,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781612915685,Bible
"['ESV Reformation Study Bible, Condensed Edition - Light Brown, Leather-Like']","
Sproul,R.C.",69.87,82.3,1524,['TYNDALE HOUSE PUBL            '],Imitation,22/03/2016,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781567698725,Bible
['Biblia Letra Grande Tamano Manual Con Refeencias-Rvr 1960'],"
B&hEspanolEditorial",50.32,59.28,1554,['ZONDERVAN PUB HOUSE           '],Imitation,14/10/2014,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781586408794,Bible
['Saint Joseph Bible-NABRE-Large Print-Illustrated'],"
CatholicBookPublishingCo",45.79,53.94,303,['AMER BIBLE SOC                '],Hardcover,01/12/2001,167,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780899429649,Bible
['Giant Print Bible-KJV'],"
NationalBibles",53.7,63.26,1566,['ZONDERVAN PUB HOUSE           '],Imitation,24/06/2014,73,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780834003507,Bible
['KJV Mini Pocket Edition: Black'],"
",22.43,28.08,2203,['ZONDERVAN PUB HOUSE           '],Imitation,30/08/2012,39,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432102418,Bible
['KJV Giant Print Lux-Leather 2-Tone Brown'],"
",45.6,53.72,1072,['NAV PR                        '],Imitation,01/10/2016,71,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432117955,Bible
['One Year Bible-Nlt'],"
Tyndale",30.44,38.11,1024,['AMER BIBLE SOC                '],Paperback,01/12/1999,509,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414302041,Bible
['KJV Giant Print Lux-Leather Pattern Dark Brown'],"
",52.71,62.09,1070,['IGNATIUS PR                   '],Imitation,30/04/2006,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432117979,Bible
['KJV Large Print Lux-Leather Brown/Pink'],"
",39.14,46.11,2226,['HOLMAN A J                    '],Imitation,15/04/2017,226,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432117528,Bible
"['Niv, Adventure Bible, Polar Exploration Edition, Hardcover, Full Color']","
Zondervan",47.66,56.14,1408,['WORLD BIBLE PUB CO            '],Hardcover,27/05/2011,19,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780310765059,Bible
"['Bible for Teen Girls-NIV: Growing in Faith, Hope, and Love']","
Zondervan",48.12,56.68,1104,['TYNDALE HOUSE PUBL            '],Hardcover,01/03/2016,18,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780310749691,Bible
"['NKJV, Gift and Award Bible, Leather-Look, Blue, Red Letter Edition']","
ThomasNelson",14.48,18.13,906,['NAV PR                        '],Imitation,04/10/2016,199,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780718075156,Bible
['Message Remix 2.0-MS'],"
Peterson,EugeneH.",57.28,67.47,810,['TYNDALE HOUSE PUBL            '],Imitation,01/03/2006,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781615219247,Bible
['Apocrypha-KJV'],"
CambridgeUniversityPress",16.42,20.56,0,['CHRISTIAN ART GIFTS           '],Hardcover,01/10/2012,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780521506748,Bible
['One Year Chronological Bible-NLT'],"
Tyndale",39.12,46.08,1104,['TYNDALE HOUSE PUBL            '],Paperback,01/03/2016,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414314082,Bible
"['NKJV, Value Thinline Bible, Standard Print, Imitation Leather, Pink, Red Letter Edition']","
ThomasNelson",26.65,33.36,1066,['CROSSWAY BOOKS                '],Imitation,30/09/2015,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780718074449,Bible
['The Message Promise Book (Softcover)'],"
Peterson,EugeneH.",6.71,8.4,363,['AMER BIBLE SOC                '],Paperback,01/05/2010,103,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781615211081,Bible
['Saint Joseph Vest Pocket New Testament-NCV'],"
CatholicBookPublishingCo",13.19,16.51,2226,['HOLMAN A J                    '],Paperback,15/04/2017,420,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780899426501,Bible
['Inspire Bible-NLT: The Bible for Creative Journaling'],"
Tyndale",79.67,93.85,1632,['CATHOLIC BOOK PUB CO          '],Hardcover,01/08/2011,422,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781496419859,Bible
['Life Application Study Bible-NIV-Personal Size'],"
Tyndale",47.89,56.41,2226,['HOLMAN A J                    '],Paperback,15/04/2017,703,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414359816,Bible
['Larger Print Bible-NIV'],"
Zondervan",13.7,17.15,1253,['OXFORD UNIV PR                '],Paperback,01/02/2005,21,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781563207211,Bible
"['NIV, Thinline Bible, Large Print, Bonded Leather, Burgundy, Indexed, Red Letter Edition']","
Zondervan",70.74,83.33,1408,['AMER BIBLE SOC                '],Bonded,01/03/2001,68,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780310448358,Bible
['Life Application Study Bible-NLT-Large Print'],"
Tyndale",84.71,99.78,2226,['HOLMAN A J                    '],Hardcover,15/04/2017,493,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414307206,Bible
['Life Essentials Study Bible-HCSB: Principles to Live by'],"
Getz,GeneA.",79.46,93.6,576,['HOLMAN A J                    '],Hardcover,16/11/1995,6,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781586400453,Bible
['One Year Chronological Bible-NLT-Premium Slimline Large Print'],"
Tyndale",39.35,46.36,624,['CROSSWAY BOOKS                '],Paperback,15/02/2017,73,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414337678,Bible
['ESV Scripture Journal: Luke'],"
CrosswayBibles",9.82,12.3,2226,['HOLMAN A J                    '],Paperback,15/04/2017,185,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433560965,Bible
"[""New Believer's Bible-NLT""]","
Tyndale",30.97,38.77,239,['AMER BIBLE SOC                '],Paperback,01/12/1999,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414302546,Bible
['KJV GP LL Purple'],"
",46.06,54.26,1072,['NAV PR                        '],Leather,01/10/2016,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432117368,Bible
